Id,Tweets,Lang,Location,Cleaned_text,textblob_polarity,vader_polarity
1225675556466769920,breaking expose part field organizer blasts campaign caught on tape saying they are,en,N.A,rt jamesokeefeiii breaking expose part ewarren field organizer los_angeles blasts campaign caught on tape saying they are,Neu,Neg
1225675555770515458,how hong kong s women protesters are upending gender roles in the fight for democracy,en,Hong Kong,rt business how hong kong s women protesters are upending gender roles in the fight for democracy https t co wowpakgffu,Neu,Neg
1225675547725844482,if buttigieg is successfully elected president his cia handlers will reward him by allowing him to publicly transitio,en,N.A,rt futureusrefugee if buttigieg is successfully elected president his cia handlers will reward him by allowing him to publicly transitio,Pos,Pos
1225675544051585026,i need sleep cuz now i m thinking about the gender of it all,en,cam they/them 18 ,i need sleep cuz now i m thinking about the gender of it all,Neu,Neu
1225675536258629632,dear president you may soon have an opportunity to appoint a new gender minister please consider the person s,en,N.A,rt zaydamjad dear president ibusolih you may soon have an opportunity to appoint a new gender minister please consider the person s,Pos,Pos
1225675532626358272,gt race gt religion gt class gt political affiliation gt gender [weaponized] when a citizenry is divided they have no collective p,en,N.A,rt karluskap gt race gt religion gt class gt political affiliation gt gender [weaponized] when a citizenry is divided they have no collective p,Neu,Pos
1225675532232085506,psa to men on my tl trying to mansplain my query on gender pay gap in india with there is no gender pay gap in india,en,N.A,rt nilanjanaroy psa to men on my tl trying to mansplain my query on gender pay gap in india with there is no gender pay gap in india,Neu,Neg
1225675530768281601,today s gender is a concerned wild roc,en,"Perth, Western Australia",rt genderoftheday today s gender is a concerned wild roc,Pos,Neu
1225675524225171457,gods and goddess gender distinction polytheism,en,N.A,gods and goddess gender distinction polytheism,Neu,Neu
1225675518080475136,starbucks wouldn t let me change my name on my login unless i legally changed it they have also denied multiple trans emplo,en,Ciudad Volterra. ,rt teejleaks starbucks wouldn t let me change my name on my login unless i legally changed it they have also denied multiple trans emplo,Pos,Neg
1225675517463908354,you elton john and billy joel managing gender and co and vibing as the ceos of gender,en,N.A,stanbillyjoel you elton john and billy joel managing gender and co and vibing as the ceos of gender https t co zeqveg u j,Neu,Neu
1225675511910686721,for weeks the coronavirus epidemic has been one of numbers deaths cases changes cases outside wuhan we hear litt,en,"Katy, Tx",rt janisfrayer for weeks the coronavirus epidemic has been one of numbers deaths cases changes cases outside wuhan we hear litt,Neu,Neu
1225675511369613313,i really really really hate irresponsible people regardless of your age gender race creed religion macam mana entah,en,N.A,rt tumbukrusuk i really really really hate irresponsible people regardless of your age gender race creed religion macam mana entah,Neg,Neg
1225675506399371264,things i used to think i wouldn t do or would be unable to do now i can actually do them women in hong kong are using t,en,Hong Kong,rt quicktake things i used to think i wouldn t do or would be unable to do now i can actually do them women in hong kong are using t,Neg,Neu
1225675505535340544,i just think he owns all the gender he s the gender meister i m telling you,en,jojo hell,rt stanbillyjoel i just think he owns all the gender he s the gender meister i m telling you https t co yqmtfggduz,Neu,Neu
1225675502687408130,if buttigieg is successfully elected president his cia handlers will reward him by allowing him to publicly transitio,en,N.A,rt futureusrefugee if buttigieg is successfully elected president his cia handlers will reward him by allowing him to publicly transitio,Pos,Pos
1225675496144244743,ministry of gender family and social services has a too huge and complex mandate gender children disabled,en,N.A,rt aneesaahmed ibusolih ministry of gender family and social services has a too huge and complex mandate gender children disabled,Neg,Pos
1225675485624975363,your color age or gender does not determine your music knowledge i love the current style of,en,N.A,rt l qu d_beats trippyvillerecs datpiff your color age or gender does not determine your music knowledge i love the current style of,Pos,Pos
1225675448446644226,how hong kong s women protesters are upending gender roles in the fight for democracy,en,N.A,rt business how hong kong s women protesters are upending gender roles in the fight for democracy https t co wowpakgffu,Neu,Neg
1225675443237294080,bi pan people calling their partners partner regardless of their gender or whether their relationship is perceived as,en,they/them!!,rt confusedophan bi pan people calling their partners partner regardless of their gender or whether their relationship is perceived as,Neu,Neu
1225675438212562944,koshi s pok dex species aura angel gender male can be female level nature unknown sexual,en,"Washington, USA",rt berry_k_luu koshi s pok dex species aura angel gender male can be female level nature unknown sexual,Pos,Neu
1225675435960201216,all of this is gold to gender critical people raising the spotlight on these matters is so important and getting the m,en,LocationFluid,rt bluecatwasred all of this is gold to gender critical people raising the spotlight on these matters is so important and getting the m,Pos,Neg
1225675435268132867,ken wearing a long ass red skirt w that vibrant aqua eyeshadow screams f toxic mascylinity and gender stereotypes i,en,N.A,rt sbnineteegang ken wearing a long ass red skirt w that vibrant aqua eyeshadow screams f toxic mascylinity and gender stereotypes i,Pos,Neg
1225675426904719362,my eyes are bleeding gender,en,cam they/them 18 ,my eyes are bleeding gender https t co alfjwpwofe,Neu,Neu
1225675413466144768,tl a little help do you know of women researching campaigning about the gender pay gap in india please share names i,en,N.A,rt nilanjanaroy tl a little help do you know of women researching campaigning about the gender pay gap in india please share names i,Neg,Pos
1225675411599704064,unions are about more than better pay massive corporations fight unions because they create solidarity between workers across,en,"Santa Fe, NM",rt ilhan unions are about more than better pay massive corporations fight unions because they create solidarity between workers across,Pos,Pos
1225675405803180039,stretch mark beautiful no matter the reason you have stretch marks growing ageing gaining losing pregnancy they,en,N.A,rt tinytunaroll stretch mark beautiful no matter the reason you have stretch marks growing ageing gaining losing pregnancy they,Pos,Pos
1225675402816847875,one of my favorites is how volkish lot chose it for its tradition values without realising that those,en,Beneath the Mountain.,threetails one of my favorites is how volkish lot chose it for its tradition values without realising that those https t co iw ww zsfp,Neu,Pos
1225675389034364928,wow the endorsement by of says so much barbara has been one of my guiding lights in t,en,"Moosup, CT",rt jessedhagopian wow the endorsement by thebarbarasmith of berniesanders says so much barbara has been one of my guiding lights in t,Pos,Pos
1225675368406769664,a lot of my anxiety comes from suppressing my attraction to women so when i come across a person of another gender,en,N.A,a lot of my anxiety comes from suppressing my attraction to women so when i come across a person of another gender https t co n ojifvu,Neu,Pos
1225675356566196225,i am not muslim i am hindu and i want reform in my religion first because that affects me directly temple trusts need eq,en,N.A,rt rohini_sgh i am not muslim i am hindu and i want reform in my religion first because that affects me directly temple trusts need eq,Pos,Pos
1225675354670419970,i m throwing a gender reveal party not for my unborn child i m just inviting people like this over to my house and showin,en,ALWAYS WITH EXO,rt crucifunker i m throwing a gender reveal party not for my unborn child i m just inviting people like this over to my house and showin,Neu,Pos
1225675349163294720,https t co gqyzsk nar autumn and winter new style ladies fashion scarf beach towel cotton warm sunscreen s,en,N.A,https t co gqyzsk nar autumn and winter new style ladies fashion scarf beach towel cotton warm sunscreen s https t co ce hsqerlr,Pos,Pos
1225675346847993857,i hear target is looking for part time associates with a degree in either gender studies or liberal arts,en,"Charlotte, NC",arabbitorduck mike i hear target is looking for part time associates with a degree in either gender studies or liberal arts,Neu,Neu
1225675341118574594,https t co gqyzsk nar new ladies faux fur shoulder shawl wrap ribbon bow collar wrap shrug scarf white white,en,N.A,https t co gqyzsk nar new ladies faux fur shoulder shawl wrap ribbon bow collar wrap shrug scarf white white https t co zpsotnqema,Pos,Neu
1225675337054318592,https t co gqyzsk nar newborn baby holder infant handsfree sling stretchy wrap carrier breastfeeding brand nam,en,N.A,https t co gqyzsk nar newborn baby holder infant handsfree sling stretchy wrap carrier breastfeeding brand nam https t co hd mfykhy,Neu,Neu
1225675336249008129,in her presentation nalucha_ziba country director of actionaidzambia emphasised the negative consequence gender bas,en,Zambia,rt africa_wewant in her presentation nalucha_ziba country director of actionaidzambia emphasised the negative consequence gender bas,Neg,Neg
1225675332918792193,https t co gqyzsk nar fashion sea dolphin design viscose leaping ocean whale printed shawls animal printing pas,en,N.A,https t co gqyzsk nar fashion sea dolphin design viscose leaping ocean whale printed shawls animal printing pas https t co fseaswfvj,Neu,Neu
1225675326589566976,lmao u have to contact spotify s customer support to change the gender on ur account literally look at urselves spotify,en,N.A,lmao u have to contact spotify s customer support to change the gender on ur account literally look at urselves spotify,Pos,Pos
1225675324521713665,i will admit i am fairly ignorant on transgender and gender fluidity so i use my fallback position treat everyone with dign,en,Sacramento region,rt minion i will admit i am fairly ignorant on transgender and gender fluidity so i use my fallback position treat everyone with dign,Pos,Pos
1225675324316274688,the timing of this another public women are liars case going on rn not to be a conspiracy theorist but it smells like new,en,📚 ’𝟸𝟶: 𝟼/𝟻𝟶,rt repudrama the timing of this another public women are liars case going on rn not to be a conspiracy theorist but it smells like new,Pos,Pos
1225675310324076544,how hong kong s women protesters are upending gender roles in the fight for democracy,en,N.A,rt business how hong kong s women protesters are upending gender roles in the fight for democracy https t co wowpakgffu,Neu,Neg
1225675304040943617,i m sure that you ve seen this an activist campaigned simon harris to stop psych,en,Ireland,shanephelanindo shanephelanindo i m sure that you ve seen this an activist campaigned simon harris to stop psych https t co hfx evvwbb,Pos,Pos
1225675301092356098,today s gender is the smell of a laundromat,en,🇯🇲🏳️‍🌈,rt genderoftheday today s gender is the smell of a laundromat,Neu,Neu
1225675285292404738,things i used to think i wouldn t do or would be unable to do now i can actually do them women in hong kong are using t,en,N.A,rt quicktake things i used to think i wouldn t do or would be unable to do now i can actually do them women in hong kong are using t,Neg,Neu
1225675270608154624,someone please help me understand so bmw a german owned luxury car brand is in talks with the south african govern,en,Gone getting Gone.,someone please help me understand so bmw a german owned luxury car brand is in talks with the south african govern https t co njrzafssc,Neu,Pos
1225675266099253249,if buttigieg is successfully elected president his cia handlers will reward him by allowing him to publicly transitio,en,great satan,rt futureusrefugee if buttigieg is successfully elected president his cia handlers will reward him by allowing him to publicly transitio,Pos,Pos
1225675263029067776,i will name my child awuvuyina when i get the gender that i want,en,Johannesburg,i will name my child awuvuyina when i get the gender that i want,Neu,Pos
1225675262441877506,gender isn t real be who u want,en,diy midwest,rt khakicuffs gender isn t real be who u want,Pos,Pos
1225675256892809216,it s science baby anyway here s me from last year,en,The furry fringes 🔞no minors!,rt degendering it s science baby anyway here s me from last year https t co pwcroqcgj,Neu,Neu
1225675248453898242,bts always told us to love youself and still remember the namjoon speech and you know you got a lot of fanboy,en,N.A,bts always told us to love youself and still remember the namjoon speech and you know you got a lot of fanboy https t co dfsyynsbz,Pos,Pos
1225675247484985344,gender doesn t matter when it comes to fight for freedom and democracy fightforfreedom standwithhongkong,en,Earth,quicktake business gender doesn t matter when it comes to fight for freedom and democracy fightforfreedom standwithhongkong,Neu,Pos
1225675247078133760,the pose is right but the gender troubles me unless of course you know something about me i hadn t noticed,en,"Glenelg South, Adelaide",vv x the pose is right but the gender troubles me unless of course you know something about me i hadn t noticed,Pos,Neg
1225675246734196736,ken wearing a long ass red skirt w that vibrant aqua eyeshadow screams f toxic mascylinity and gender stereotypes i,en,N.A,rt sbnineteegang ken wearing a long ass red skirt w that vibrant aqua eyeshadow screams f toxic mascylinity and gender stereotypes i,Pos,Neg
1225675225880133632,and these are the people removing any safeguarding for women and girls by allowing males who identify as wom,en,UK,rt drbrooksrousham juliahb and these are the people removing any safeguarding for women and girls by allowing males who identify as wom,Neu,Pos
1225675199078514688,if you re bi with a heavy lean towards the same gender you re not gay you re still bi if you re bi with a heavy lean,en,he him,rt streddiewarrior if you re bi with a heavy lean towards the same gender you re not gay you re still bi if you re bi with a heavy lean,Neg,Neu
1225675197681819649,so this happened tonight olddominion did a gender reveal on stage in kennewick wa,en,"Hermiston, OR",so this happened tonight olddominion did a gender reveal on stage in kennewick wa https t co md e c ffq,Neu,Neu
1225675195525939200,how are the nordic countries so good at social mobility education is high quality and is free for everyone unive,en,Belgrade City,rt aurorablogspot how are the nordic countries so good at social mobility education is high quality and is free for everyone unive,Pos,Pos
1225675192266977280,if you re doing pregnancy alone a word of advice is to just fucking own it you have one pregnancy don t be embarrassed or,en,"Arizona, USA",rt veebrigham if you re doing pregnancy alone a word of advice is to just fucking own it you have one pregnancy don t be embarrassed or,Pos,Neg
1225675186071990273,i am thinking thoughts of him,en,HYYH,rt joonisgay i am thinking thoughts of him https t co ig k wxk,Neu,Neu
1225675176160874497,the phrase bros before hoes is a very problematic statement giving such a name along with bitch slut and cunt to,en,Zion’s happy heart,rt sdherself the phrase bros before hoes is a very problematic statement giving such a name along with bitch slut and cunt to,Pos,Neg
1225675174407593985,things i used to think i wouldn t do or would be unable to do now i can actually do them women in hong kong are using t,en,N.A,rt quicktake things i used to think i wouldn t do or would be unable to do now i can actually do them women in hong kong are using t,Neg,Neu
1225675172385980421,for weeks the coronavirus epidemic has been one of numbers deaths cases changes cases outside wuhan we hear litt,en,N.A,rt janisfrayer for weeks the coronavirus epidemic has been one of numbers deaths cases changes cases outside wuhan we hear litt,Neu,Neu
1225675153805172737,that s not a category for men try the other gender or in between,en,"Harare, Zimbabwe",ameyaw that s not a category for men try the other gender or in between,Neg,Neu
1225675153457082370,i want to open up this conversation to any trans people who follow me who are happy amp content with their deci,en,N.A,i want to open up this conversation to any trans people who follow me who are happy amp content with their deci https t co sjilwsdkf,Pos,Pos
1225675148394561537,it s hard to express how fundamentally awful i have always felt like what the baseline normal has been i d like,en,👻🎃,it s hard to express how fundamentally awful i have always felt like what the baseline normal has been i d like https t co bjgkiayd n,Neg,Pos
1225675147266248705,how hong kong s women protesters are upending gender roles in the fight for democracy,en,N.A,rt business how hong kong s women protesters are upending gender roles in the fight for democracy https t co wowpakgffu,Neu,Neg
1225675144766451712,if you re bi with a heavy lean towards the same gender you re not gay you re still bi if you re bi with a heavy lean,en,N.A,rt streddiewarrior if you re bi with a heavy lean towards the same gender you re not gay you re still bi if you re bi with a heavy lean,Neg,Neu
1225675142644125699,no matter what gender or race hong kongers are united to fight until demandsnot less is met,en,N.A,quicktake business no matter what gender or race hong kongers are united to fight until demandsnot less is met https t co ol tmjqrs,Neg,Neg
1225675132242280448,tell me how this ap,en,"Meridianville, AL",arichardsonxc cholent_lover salltweets calebchometa peregrinwylde cis_jenner degendering tell me how this ap https t co ri t b cat,Neu,Neu
1225675130514235398,how hong kong s women protesters are upending gender roles in the fight for democracy,en,N.A,rt business how hong kong s women protesters are upending gender roles in the fight for democracy https t co wowpakgffu,Neu,Neg
1225675129696292864,if you re bi with a heavy lean towards the same gender you re not gay you re still bi if you re bi with a heavy lean,en,She/they| belgium | Luna ❤️,rt streddiewarrior if you re bi with a heavy lean towards the same gender you re not gay you re still bi if you re bi with a heavy lean,Neg,Neu
1225675128412884997,the links between the violent extreme right and the anti trans so called gender critical feminists are becoming cl,en,N.A,rt natachakennedy the links between the violent extreme right and the anti trans so called gender critical feminists are becoming cl,Neg,Neg
1225675122717024256,ya ll here shit talking each other for dumb shit on social media pointing fingers at each other come to a hospital and o,en,Kuala Lumpur Federal Territory,rt diviyadarsh ya ll here shit talking each other for dumb shit on social media pointing fingers at each other come to a hospital and o,Neg,Neg
1225675110389993473,occasionally i rant about how the future of civil rights fights will center discrimination in the digital space this r,en,"Los Angeles, CA",rt avatarasmithc occasionally i rant about how the future of civil rights fights will center discrimination in the digital space this r,Neg,Neg
1225675722888376322,the male brain is bigger than the female s but the female brain works more efficiently,en,N.A,rt fact the male brain is bigger than the female s but the female brain works more efficiently,Pos,Pos
1225675722045284353,inevitably people clutching their pearls over a female mp s top were supremely comfortable with a male mp sprawling all ove,en,N.A,rt mrjamesob inevitably people clutching their pearls over a female mp s top were supremely comfortable with a male mp sprawling all ove,Pos,Pos
1225675712079597568,so as a nonconsented recipient of male mutilation post birth i have questions whom do i seek reparations and h,en,N.A,so as a nonconsented recipient of male mutilation post birth i have questions whom do i seek reparations and h https t co a pwoojqrz,Neu,Neu
1225675709051334660,apart from arabs trading more blacks as slaves than europeans they also practiced genetic warfare arab enslavers pra,en,Johannesburg,rt africanarchives apart from arabs trading more blacks as slaves than europeans they also practiced genetic warfare arab enslavers pra,Pos,Neg
1225675706790637569,the football game consists of male players each male has balls which makes it balls on the field balls the,en,"Abuja, Nigeria",rt d__primus the football game consists of male players each male has balls which makes it balls on the field balls the,Neg,Neu
1225675704013971462,martin scorsese has done this a lot and often better a male member of the academy s producers branch reveals who what got his,en,"Tucson, AZ",rt thr martin scorsese has done this a lot and often better a male member of the academy s producers branch reveals who what got his,Pos,Pos
1225675703858778113,elizabeth warren is five levels above the field if for the second time in four years a brilliant woman who is much better,en,"Indiana, USA",rt tzipshmil elizabeth warren is five levels above the field if for the second time in four years a brilliant woman who is much better,Pos,Pos
1225675701824606210,a year old male from johannesburg seeking a lady aged who is appreciative accepting open and honest looks don t rea,en,"spyland, Katlehong ",rt batho a year old male from johannesburg seeking a lady aged who is appreciative accepting open and honest looks don t rea,Pos,Pos
1225675699450564608,male grooming see bodybuilding steroids rsdtyler muscles formulasecrets,en,"Idaho, USA",male grooming see https t co yrubo tjut bodybuilding steroids rsdtyler muscles formulasecrets,Neu,Neu
1225675693775712258,kim soo hyun confirmed as a male lead in upcoming tvn drama psycho but it s okay broadcast first half https t co l,en,"Las Pinas City, National Capit",rt oh_mes kim soo hyun confirmed as a male lead in upcoming tvn drama psycho but it s okay broadcast first half https t co l,Pos,Pos
1225675675933138945,that s rich coming from perhaps the most entitled white male i have ever seen,en,The Internet,realdonaldtrump loudobbs that s rich coming from perhaps the most entitled white male i have ever seen,Pos,Pos
1225675675886972929,thank you speaking out against your abuser johnnydepp and on behalf of other women it shows rea,en,N.A,realamberheard thank you speaking out against your abuser johnnydepp and on behalf of other women it shows rea https t co c ps anp u,Neg,Neg
1225675649852964867,don lemon blocked me he blocked me after i brought attention to the fact he is being sued for sexually assaulting a male,en,N.A,rt w_terrence don lemon blocked me he blocked me after i brought attention to the fact he is being sued for sexually assaulting a male,Pos,Neg
1225675643305676800,its got john wick style action directed like a tarantino f,en,"Birmingham, England",jesabelraay dubsidep birdsofpreywb margotrobbie its got john wick style action directed like a tarantino f https t co ufox fldgr,Pos,Pos
1225675642131206145,white male and boring diversity row should make bafta look in the mirror,en,N.A,white male and boring diversity row should make bafta look in the mirror https t co pdkmyaiios,Neg,Neg
1225675637173567489,morning all you white british males lets go and cause white british male privilege across the uk with our disgusting a,en,Manchester England,rt thegreatunionj morning all you white british males lets go and cause white british male privilege across the uk with our disgusting a,Neg,Neg
1225675631750348802,the male brain is bigger than the female s but the female brain works more efficiently,en,N.A,rt fact the male brain is bigger than the female s but the female brain works more efficiently,Pos,Pos
1225675631309901824,gay so voters will be able to feel warm and fuzzy for being socially progressive religious so people will still,en,United States,gay so voters will be able to feel warm and fuzzy for being socially progressive religious so people will still https t co h s idpdlm,Pos,Pos
1225675629623820289,is now the male artist with most s x in us itunes history jbyummy,en,"Cali, Valle del Cauca",rt justinoncharts justinbieber is now the male artist with most s x in us itunes history jbyummy https t co scl jzi dz,Pos,Neu
1225675628143206406,hello suggest me a male idol born in,en,INTL corp,hello suggest me a male idol born in,Neu,Neu
1225675625207173121,rt to win the perfect pair armani in love with you and stronger with you freeze male the perfect gifts for valenti,en,N.A,rt fragrancedirect rt to win the perfect pair armani in love with you and stronger with you freeze male the perfect gifts for valenti,Pos,Pos
1225675621679808512,np hlc average white male podcast harvard lunch club podcast hlcpodcast,en,N.A,np hlc average white male podcast harvard lunch club podcast https t co bpbaxqcxyr hlcpodcast,Neg,Pos
1225675618152402946,the male brain is bigger than the female s but the female brain works more efficiently,en,"The home of the greatest, NY ",rt fact the male brain is bigger than the female s but the female brain works more efficiently,Pos,Pos
1225675607448547328,every single adult male character that oscar has met now has punched him beaten him to a pulp tried to kidnap him s,en,地獄,rt stonehlll every single adult male character that oscar has met now has punched him beaten him to a pulp tried to kidnap him s,Pos,Neg
1225675602964824065,eminem was the most streamed male artist yesterday on spotify he has received over million streams on platform,en,"Lexington, TN",rt eminemchart eminem was the most streamed male artist yesterday on spotify he has received over million streams on platform,Pos,Neu
1225675601509412865,shu uemura weibo update feb is coming shu uemura global brand ambassador turns into a romantic ambassador brings yo,en,bp exo got7,rt yibo_pic shu uemura weibo update feb is coming shu uemura global brand ambassador turns into a romantic ambassador brings yo,Neu,Pos
1225675601144512512,it is mostly boys and men who die and who have always died so we all can live in the past we would celebrate boys and,en,N.A,rt lisabritton it is mostly boys and men who die and who have always died so we all can live in the past we would celebrate boys and,Pos,Neg
1225675598795657217,don lemon blocked me he blocked me after i brought attention to the fact he is being sued for sexually assaulting a male,en,"Tallinn, Estonia",rt w_terrence don lemon blocked me he blocked me after i brought attention to the fact he is being sued for sexually assaulting a male,Pos,Neg
1225675594840457217,the technical side of music is so male dominated amp i d like to see more women in that space that s why i ve created a scho,en,.,rt shomadjozi the technical side of music is so male dominated amp i d like to see more women in that space that s why i ve created a scho,Pos,Pos
1225675592072220674,thanks for tonight especially the call out half hour before home time adult male arrested f,en,Swadlincote,despatcherdave thanks for tonight especially the call out half hour before home time adult male arrested f https t co whjxp kzgg,Pos,Neg
1225675590247665673,gt loses factory job you deserve it oppressor gt gets depressed white male fragility gt addicted to opiates lol wh,en,N.A,rt pdabrosca gt loses factory job you deserve it oppressor gt gets depressed white male fragility gt addicted to opiates lol wh,Pos,Pos
1225675590126075904,definition of alpha male https t co h cwdltedp,en,N.A,delicious_tacos definition of alpha male https t co h cwdltedp,Neu,Neu
1225675586749616128,goldman sachs will no longer do ipos for companies with all male boards,en,"Melbourne, Victoria",goldman sachs will no longer do ipos for companies with all male boards https t co coupp twn,Neu,Neg
1225675585445228545,billcosby tweeting will make this a memorable blackhistorymonth forever i must say that the illusion,en,"Palm Beach, Florida.  Atlanta ",billcosby tweeting snoopdogg will make this a memorable blackhistorymonth forever i must say that the illusion https t co m xjvs tqw,Pos,Neu
1225675578306510856,toya the male pussycat apparently he was a girl and transitioned into a man,en,New Zealand,ilovetddk shouto_roki toya the male pussycat apparently he was a girl and transitioned into a man,Pos,Neu
1225675577224355845,what racism sexism looks like in the classroom english male student with a smug grin telling me he hadn t read the pre,en,Australia,rt sunnysingh_n what racism sexism looks like in the classroom english male student with a smug grin telling me he hadn t read the pre,Neu,Pos
1225675574653308932,you can t be persecuted if you re a privileged male sanremo,en,N.A,you can t be persecuted if you re a privileged male sanremo https t co axzylcb uv,Neu,Pos
1225675573621481472,we ve all seen elements of this in the workplace entitled male behaviour good management deals with it,en,Glasgow,leahfranchetti we ve all seen elements of this in the workplace entitled male behaviour good management deals with it,Pos,Pos
1225675572908396546,i get really fed up with the inference that male bodies are better if there were medals for the life threatening,en,San Junipero,i get really fed up with the inference that male bodies are better if there were medals for the life threatening https t co ux xuq qq,Pos,Neg
1225675572291887105,male objectification that s what this is,en,Sri Lanka,senalids male objectification that s what this is,Neu,Neu
1225675571805294592,a male cat was lost on in elmwood avenue upper ranelagh dublin lpie,en,Ireland,a male cat was lost on in elmwood avenue upper ranelagh dublin https t co grd ppa n lpie https t co egtbehxvoo,Neu,Neg
1225675571301994497,chart buster sid ghar ka raja sid first male captain sid jija arhaan didi rashmi sala asim ki wat lagana wala,en,Delhi,rt ahilchoudhary chart buster sid ghar ka raja sid first male captain sid jija arhaan didi rashmi sala asim ki wat lagana wala,Pos,Neu
1225675550754131977,the male brain is bigger than the female s but the female brain works more efficiently,en,Nigeria,rt fact the male brain is bigger than the female s but the female brain works more efficiently,Pos,Pos
1225675549172846592,we go out of our way to shut down any discourse that even halfway addresses the sexual violence some of our black male her,en,N.A,rt courtdanee we go out of our way to shut down any discourse that even halfway addresses the sexual violence some of our black male her,Pos,Neg
